Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP
Ford,Escort,130000,1998,Benzine,Manual,1300,Sedan,"EGP 140,000"
Speranza,A113,83000,2012,Benzine,Manual,1300,Hatchback,"EGP 243,000"
Honda,City,100000,2008,Benzine,Automatic,1500,Sedan,"EGP 240,000"
Volkswagen,Pointer,180000,2006,Benzine,Manual,1600,Hatchback,"EGP 155,000"
Geely,Emgrand 7,215000,2017,Diesel,Manual,1600,Sedan,"EGP 380,000"
Nissan,Sunny,95000,2022,Benzine,Automatic,,Sedan,"EGP 530,000"
Citroen,C3,550000,2004,Benzine,Manual,,,"EGP 230,000"
Skoda,Kodiaq,22000,2023,Benzine,Automatic,1400,Estate,"EGP 2,000,000"
Suzuki,Swift,52000,2010,Benzine,Automatic,,,"EGP 165,000"
Toyota,Land Cruiser,42000,2023,Benzine,Automatic,3500,4X4,"EGP 7,700,000"
Opel,Vectra,1,1998,Benzine,Manual,1600,Sedan,"EGP 230,000"
Fiat,Grand Punto,130000,2013,Benzine,Automatic,,Hatchback,"EGP 418,000"
Peugeot,RCZ,127000,2011,Benzine,Manual,1600,Sports / Coupe,"EGP 975,000"
Seat,Ibiza,200000,1999,Benzine,Manual,1600,Hatchback,"EGP 190,000"
BYD,F3,73000,2025,Natural Gas,Manual,1500,Sedan,"EGP 620,000"
Hyundai,I20,230000,2012,Benzine,Automatic,1400,Hatchback,"EGP 465,000"
Nissan,Juke,142000,2015,Benzine,Automatic,1600,SUV,"EGP 660,000"
Seat,Ibiza,50000,2021,Benzine,Automatic,1600,Hatchback,"EGP 900,000"
Mercedes-Benz,E250,124000,2010,Benzine,Automatic,,Sedan,"EGP 1,800,000"
Fiat,Panda,123000,2017,Benzine,Manual,1200,Hatchback,"EGP 400,000"
Kia,Sorento,14000,2023,Benzine,Automatic,,SUV,"EGP 2,100,000"
Seat,Toledo,99000,2017,Benzine,Automatic,1600,Sedan,"EGP 700,000"
Seat,Ibiza,230000,2014,Benzine,Automatic,1600,Hatchback,"EGP 500,000"
Mercedes-Benz,C180,29000,2017,Benzine,Automatic,1600,Convertible,"EGP 2,350,000"
Hyundai,Accent,275,2015,Benzine,Automatic,1600,Sedan,"EGP 550,000"
Opel,Corsa,43000,2022,Benzine,Automatic,1300,Hatchback,"EGP 825,000"
Peugeot,407,92000,2008,Diesel,Manual,1600,Sedan,"EGP 400,000"
Nissan,Pickup,279850,2014,Diesel,Manual,,Pickup,"EGP 425,000"
Hyundai,Elantra,110000,2019,Benzine,Automatic,1600,Sedan,"EGP 690,000"
Mercedes-Benz,GLA 200,94000,2021,Benzine,Automatic,1600,SUV,"EGP 2,000,000"
Mitsubishi,Lancer,186000,2014,Benzine,Automatic,,Sedan,"EGP 540,000"
Ford,Focus,264000,2008,Benzine,Automatic,,,"EGP 280,000"
BMW,525,150000,2007,Benzine,Automatic,2500,Sedan,"EGP 870,000"
BYD,F3,70000,2025,Benzine,Manual,1500,Sedan,"EGP 620,000"
Opel,Grandland,20000,2024,Benzine,Automatic,1600,SUV,"EGP 1,550,000"
Daewoo,Lanos,25000,1979,Benzine,Manual,1500,Sedan,"EGP 290,000"
Nissan,Sunny,38000,2023,Benzine,Automatic,1500,Sedan,"EGP 670,000"
Kia,Sportage,68000,2022,Benzine,Automatic,1600,SUV,"EGP 1,530,000"
Jaguar,XE,57000,2021,Benzine,Automatic,2000,Sedan,"EGP 2,700,000"
Speranza,A113,140000,2014,Benzine,Manual,,,"EGP 230,000"
Mercedes-Benz,E230,190000,2008,Benzine,Automatic,2500,Sedan,"EGP 1,030,000"
Volkswagen,Tiguan,66000,2023,Benzine,Automatic,1400,SUV,"EGP 1,770,000"
Hyundai,Verna,208000,2010,Hybrid,Automatic,1600,Sedan,"EGP 310,000"
Fiat,127,1,1980,Benzine,Manual,,Hatchback,"EGP 20,000"
Daihatsu,Terios,300000,2012,Benzine,Automatic,1500,Hatchback,"EGP 485,000"
Renault,Megane,202000,2006,Benzine,Automatic,,Sedan,"EGP 315,000"
Hyundai,Verna,250000,2015,Benzine,Manual,1600,Sedan,"EGP 400,000"
Renault,Logan,163000,2016,Benzine,Automatic,1600,Sedan,"EGP 340,000"
Chevrolet,Lanos,30000,2013,Benzine,Manual,1600,Sedan,"EGP 315,000"
Daewoo,Lanos,300000,2008,Natural Gas,Manual,1500,Sedan,"EGP 260,000"
Mercedes-Benz,Other,51000,2022,Benzine,Automatic,3000,Sedan,"EGP 5,500,000"
Renault,Clio,320000,2002,Benzine,Manual,1200,Sedan,"EGP 185,000"
Volkswagen,Eos,59000,2007,Benzine,Manual,1600,Convertible,"EGP 800,000"
Kia,Sportage,100000,2018,Benzine,Automatic,1600,SUV,"EGP 1,140,000"
Renault,Duster,166000,2020,Benzine,Automatic,1600,Hatchback,"EGP 650,000"
Renault,11,69000,2011,Benzine,Manual,1600,Sedan,"EGP 250,000"
Mitsubishi,Lancer,180000,2017,Benzine,Manual,2000,Sedan,"EGP 830,000"
Fiat,128,500000,1975,Benzine,Manual,,,"EGP 26,000"
Nissan,Sunny,350000,2009,Natural Gas,Automatic,1600,Sedan,"EGP 400,000"
Kia,Rio,250000,2004,Benzine,Manual,1300,Sedan,"EGP 175,000"
Opel,Corsa,147000,2022,Benzine,Automatic,1300,Sedan,"EGP 720,000"
BYD,F0,970000,2010,Benzine,Manual,1000,Hatchback,"EGP 220,000"
Mitsubishi,Mirage,310222,1998,Benzine,Automatic,1600,Sedan,"EGP 310,000"
BYD,F3,120000,2022,Benzine,Manual,1600,Other,"EGP 475,000"
Chevrolet,N300,119,2015,Benzine,Manual,,MPV,"EGP 3,300,000"
Ford,Mondeo,260000,2008,Benzine,Manual,1600,Sedan,"EGP 530,000"
Kia,Carnival,13000,2025,Hybrid,Automatic,1600,SUV,"EGP 2,450,000"
BMW,118,142000,2019,Benzine,Automatic,1500,Hatchback,"EGP 1,100,000"
Fiat,500X,15000,2021,Benzine,Automatic,1400,Hatchback,"EGP 930,000"
Mitsubishi,Atrage,175000,2014,Benzine,Automatic,1100,Sedan,"EGP 380,000"
Mercedes-Benz,C200,35000,2022,Hybrid,Automatic,1500,Sedan,"EGP 2,550,000"
Opel,Insignia,287000,2014,Benzine,Automatic,1600,Sedan,"EGP 550,000"
Hyundai,Verna,70000,2008,Benzine,Manual,,,"EGP 290,000"
Renault,Logan,57000,2017,Benzine,Manual,,Sedan,"EGP 450,000"
Peugeot,5008,88000,2022,Benzine,Automatic,,SUV,"EGP 1,450,000"
Mercedes-Benz,GLC 200,50000,2023,Benzine,Automatic,1500,SUV,"EGP 3,625,000"
Volkswagen,Passat,180000,2018,Benzine,Automatic,1400,Sedan,"EGP 1,100,000"
